participant,similarity,session1_masked_compatible,session1_masked_incompatible,session1_unmasked_compatible,session1_unmasked_incompatible,session2_masked_compatible,session2_masked_incompatible,session2_unmasked_compatible,session2_masked_incompatible
T167,same,371.7125,356.3670886,290.2151899,380.28,345.75,332.52,262.775,349.1081081
T168,same,391.5194805,374.3670886,378.525,393.2368421,391.3947368,389.2467532,339.0909091,380.5342466
T17,same,457.2467532,418.2,421.6794872,474.1830986,454.9324324,408.7125,391.6410256,432.1
T175,same,467.28,430.7625,382.9125,466.5822785,473.3289474,443.825,363.443038,464.3376623
T182,same,378.3066667,358.0128205,335.8333333,388.4126984,372.7142857,353.6582278,308.4303797,375.1571429
T184,same,419.9358974,405.038961,355.7012987,409.4078947,413.08,389.5263158,369.3974359,421.7792208
T19,same,479.8571429,460.775,409.575,488.6625,480.1282051,460.0886076,384.7594937,472.9875
T190,same,390.7662338,351.5625,353.2278481,402.7272727,368.8591549,323.7721519,308.5822785,361
T197,same,422.0253165,394.9605263,347.8571429,431.0641026,391.5696203,367.5769231,348.4805195,472.2531646
T199,same,471.7333333,441.6282051,436.6351351,471.6027397,463.3783784,407.5584416,336.974359,415.8533333
T211,same,438.3333333,427.3164557,440.0625,478.4285714,448.9615385,433.5189873,429.8607595,455.4683544
T214,same,328.1265823,301.2236842,286.8717949,310.6231884,326.4666667,304.2337662,285.425,289.4133333
T216,same,409.7368421,403.0135135,355.0641026,469.974026,418.1710526,389.2125,381.1898734,449.9733333
T223,same,409.9875,395.5375,359.7792208,442.8382353,460.2564103,436.7820513,420.1012658,498.4383562
T226,same,459.7435897,466.835443,400.4303797,487.2368421,444.8227848,430.3875,438.012987,507.1688312
T24,same,362.6184211,380.4683544,347.4025974,423.6349206,364.9066667,357.6447368,339.4871795,410.1060606
T246,same,432.8133333,451.7183099,402.3896104,491.6714286,455.4324324,451.6794872,351.7763158,472.3846154
T248,same,423.2051282,400.4415584,360.6202532,472.9014085,436.7820513,411.1025641,311.6075949,419.527027
T249,same,408.9710145,405.6944444,361.7733333,460.7464789,397.3424658,400.0714286,342.7012987,432.0142857
T251,same,336.0789474,306.6375,321.7402597,339.4533333,337.3287671,316.2564103,289.4625,324.1830986
T257,same,437.4177215,434.2,338.4875,400.1081081,388.4027778,369.8717949,338.4936709,396.1733333
T258,same,487.8846154,458.7435897,388.2531646,510.5074627,475.027027,443.5844156,408.5921053,477.4583333
T259,same,409.7142857,368.775,369.2,431.5384615,407.6233766,380.5512821,355.225,434.7297297
T261,same,378.0675676,354.7532468,335.775,364.1388889,358.8815789,340.9113924,321.4375,355.16
T268,same,458.7894737,414.1518987,344.4875,445.2676056,458.8684211,433.0379747,386.525641,431.6493506
T276,same,507.5189873,458.5949367,398.15,521.2739726,476.6164384,413.7594937,391.474359,459.9583333
T279,same,427.9333333,404.3974359,369.5641026,469.9577465,456.2432432,448.3846154,404.65,498.0277778
T281,same,491.9324324,436.8461538,461.3289474,480.1506849,415.3378378,402.1392405,428.5333333,426.6753247
T29,same,452.0540541,444.4459459,395.7307692,455.6949153,405.8666667,388.5384615,405.6891892,463.8219178
T307,same,419.5641026,381.2368421,361.6455696,387.1710526,434.1973684,414.3205128,371.975,416.2105263
T310,same,335.4428571,350.1911765,351.9367089,406.2058824,402.3733333,437.6216216,376.8873239,473.4693878
T313,same,414.7027027,403.6410256,353.1298701,429.7333333,456.7027027,409.575,361.1388889,436.0779221
T316,same,542.7638889,532.5285714,435.0735294,628.5714286,543.6197183,489.1066667,411.7341772,554.4125
T325,same,396.9868421,367.8974359,374.2875,437.16,423.3421053,407.75,354.7125,414.16
T329,same,384.9113924,366.6375,369.7088608,414.7792208,389.84,371.7721519,373.825,405.2533333
T33,same,457.2820513,430.8,412.1410256,467.1923077,456.2658228,411.5,375.3417722,442.8717949
T354,same,395.0375,357.0126582,392.45,449.3239437,416.0649351,368.825,369.2337662,456.5416667
T357,same,407.0125,395.4936709,395.2625,447.2763158,433.3974359,427.4810127,404.8375,460.625
T359,same,393.775,370.974026,351.0632911,429.825,394.5875,370.3461538,315.0379747,388.7272727
T367,same,379.6493506,342.7272727,354.9746835,429.4533333,408.7974684,390.9625,340.6,432.2337662
T368,same,406.7792208,394.8,343.9873418,405.6363636,454.6388889,437.2702703,388.2083333,428.0263158
T370,same,389.9487179,358.0625,369.175,407.3428571,395.5641026,377.8607595,374.775,413.9871795
T379,same,356.5822785,355.1012658,342.1410256,420.5694444,376.0632911,365.4556962,344.5066667,403.2133333
T38,same,448.5949367,434.6,415.15,479.164557,463.9240506,466.75,424.5189873,489.3076923
T389,same,402.4,405.9873418,389.7051282,486.5217391,410.4935065,399.5,390.4375,482.5753425
T40,same,384.6375,365.3246753,375.6708861,424.5333333,352.9102564,323,337.0632911,410.5696203
T43,same,403.4583333,353.25,305.6,399.3333333,403.7837838,344.525,324.9125,393.6133333
T47,same,411.9220779,380.3717949,326.175,441.3866667,389.2307692,354.4,343.1025641,409.1282051
T55,same,450.6538462,444.5128205,389.175,465.6075949,445.9230769,437,402.75,483.6153846
T59,same,401.7567568,369.2105263,424.7375,472.0649351,367.8194444,343.6493506,372.3205128,433.369863
T60,same,383.0277778,340.7236842,335.8625,412.1571429,376.2028986,323.375,302.9230769,377
T66,same,396.3815789,390.88,364.4050633,431.7179487,383.0945946,388.3684211,311.0789474,382.7662338
T79,same,511.6769231,490.2432432,395.4225352,509.4029851,509.5,445.2533333,390.2777778,493.7068966
T83,same,433.1066667,398.0126582,350.35,481.2972973,436.6056338,401.35,380.45,502.1948052
T85,same,481.1666667,432.7692308,343.275,486.9350649,524.5769231,464.325,354.35,485
T87,same,382.7246377,351.4358974,327.3417722,410.8378378,442.6142857,386.084507,315.5454545,416.5151515
T93,same,500.125,480.6375,443.2375,525.9493671,515.038961,474.45,419.85,502.25
T95,same,450.9466667,392.6708861,341.2025316,481.7042254,414.3376623,369.6125,313.3717949,440.4637681
T98,same,504.725,503.125,499.1625,494.835443,491.7088608,503.7948718,466.7375,467.5822785
