participant,similarity,session1_nonrepeatHF,session1_nonrepeatLF,session1_repeatHF,session1_repeatLF,session2_nonrepeatHF,session2_nonrepeatLF,session2_repeatHF,session2_repeatLF
T172,same,549.0869565,702.05,528.1666667,659.2916667,503.0869565,685.5714286,499.0869565,578.173913
T179,same,525.2916667,681.45,501.5833333,607.125,529.9166667,642.95,528.3333333,595.875
T185,same,482.875,595.6315789,469.2916667,528.6086957,451.6666667,557.65,451.3478261,499.9565217
T187,same,480.5833333,542.5238095,490.9130435,483.8571429,447.2727273,515.1764706,490.4166667,554
T188,same,474.6666667,548.1818182,464.9583333,561.7222222,423.952381,473.0769231,419.5833333,521.8095238
T192,same,566.3478261,632.4117647,539.826087,577.4761905,489,649.6666667,543.826087,555.8571429
T195,same,427.125,534.6470588,441.8333333,503.5,434.8636364,508.8421053,416.625,468.6190476
T196,same,605.173913,739.7368421,550.3478261,638.3809524,544.0869565,646.75,534.9583333,584.8181818
T197,same,657.7391304,764.55,655.9166667,684.6521739,615.375,723.15,604.625,667.75
T198,same,566.2083333,584.8571429,497.9583333,545.8,523.4090909,635.4545455,572.9166667,605.8181818
T2,same,594.7083333,705.1666667,545.7916667,651,569.6086957,628.3333333,545.5,661.8636364
T200,same,534.375,636.8181818,523.5833333,608.5833333,541.6666667,610.5,554.0416667,603.6666667
T202,same,590.7083333,846.8636364,595.125,648.3181818,578.1304348,677.8095238,557.4782609,651.2173913
T206,same,579.1666667,635.7,565.0833333,556.5454545,555.375,627.2857143,562.1666667,581.3043478
T207,same,588.3333333,617.2307692,551.6666667,584,482,573.75,483.9166667,551.2380952
T214,same,491.9583333,570.8947368,481.9130435,550.7727273,558.7083333,638.1052632,574.0416667,688.0833333
T215,same,595.9565217,843.7333333,577.6521739,689.7,614.125,890.4705882,613.0833333,733.6666667
T227,same,557.625,661.1538462,518.875,607.0454545,551.4545455,646,519.3181818,582.4761905
T230,same,551.125,598.8636364,527.826087,565.3333333,603.2083333,682.1818182,658.4347826,598.7083333
T233,same,508.8095238,662.4285714,543.7391304,567.5454545,481.4166667,558.2105263,467.5,518.3913043
T242,same,502.875,726.2222222,465.5833333,608.4090909,483,648.3888889,489.875,566.2173913
T244,same,508.6086957,674.3571429,497.9130435,619.1363636,514.75,725.2142857,537.3913043,721.5789474
T245,same,664.4285714,789.1666667,581.2272727,764.0869565,693.0434783,850.0434783,675.5416667,729.7619048
T25,same,457.0434783,570.7647059,433.0833333,513.0869565,482.0869565,558.7894737,479.3333333,516.5909091
T250,same,598,613.3333333,525.173913,621.7142857,587.2916667,659.5,574.9583333,594
T252,same,431.3333333,539.1666667,429.9583333,499.8695652,454.3333333,580.5789474,435.8333333,507.5833333
T253,same,639.75,713.4210526,609.6666667,697.5454545,610.5652174,701,625,706
T256,same,544.875,666.2,517.5416667,615.3913043,534.3043478,649.6842105,533.375,561.6956522
T258,same,480.2608696,565,478.9166667,508.5652174,461.5416667,531.7083333,459.25,457.2916667
T260,same,436.8181818,507,431.1304348,518.8333333,532.952381,585.625,517.8181818,563.625
T263,same,509.7083333,590.4117647,488.125,583.05,499.25,614.2857143,482.7083333,561.9130435
T269,same,530.7083333,644.8181818,544.7083333,575.9166667,540.6521739,630.55,538.4583333,588.4166667
T272,same,521.4166667,617.2631579,526.7916667,583.625,531.9166667,611,530.4583333,602.7272727
T282,same,634.6086957,714.5714286,623.4583333,675.375,570.6363636,644.0952381,549.875,608.6363636
T285,same,454.75,560.8235294,469.9545455,526.3809524,460.6818182,521.0454545,456,486.0833333
T286,same,592.6521739,658.2142857,533.875,540.7,603.7916667,616.4705882,581.4166667,609.6363636
T287,same,542.375,719.95,544.2916667,705.75,550.7083333,746.5,556.625,637.826087
T289,same,605.5,706,577.3333333,656.1304348,598.2916667,693.9130435,610.2916667,642.6666667
T295,same,456.5,637,501.4347826,561.95,510.1666667,607.8,494.9583333,547.7619048
