"participant_external","participant_outlier_fixed","participant_outlier_data","trial_external","trial_outlier_fixed","trial_outlier_data","stimuli_external","stimuli_outlier_fixed","stimuli_outlier_data","mean1_log","mean2_log","sd1_log","sd2_log","subject_n_log","trial1_avg_log","trial2_avg_log","trial1_min_log","trial2_min_log","trial1_max_log","trial2_max_log","mean_diff_log","sd_diff_log","d_av_log","d_av_log_low","d_av_log_high","d_z_log","d_z_log_low","d_z_log_high","t_log","df_log","p_log","mlm_diff_log","mlm_se_log","mlm_t_log","mlm_df_log","mlm_p_log","total_trial_log","mean1_no_log","mean2_no_log","sd1_no_log","sd2_no_log","subject_n_no_log","trial1_avg_no_log","trial2_avg_no_log","trial1_min_no_log","trial2_min_no_log","trial1_max_no_log","trial2_max_no_log","mean_diff_no_log","sd_diff_no_log","d_av_no_log","d_av_no_log_low","d_av_no_log_high","d_z_no_log","d_z_no_log_low","d_z_no_log_high","t_no_log","df_no_log","p_no_log","mlm_diff_no_log","mlm_se_no_log","mlm_t_no_log","mlm_df_no_log","mlm_p_no_log","total_trial_no_log","order"
"1","0","1","0","0","0","0","0","0","6.02432810351713","6.10769035534708","0.156633589801808","0.147365870012949","152","45.0723684210526","43.5263157894737","40","35","46","46","0.0833622518299475","0.0690261910061383","-0.548436841833503","-0.718207684800778","-0.377078106343142","1.20769016245637","0.997229156792637","1.41576331093706","14.8894042973878","151","1.98719534131851e-31","0.0830080891508799","0.0038981250268611","21.2943629511342","13314","5.67861391771487e-99","13467","432.384118035587","465.962835183159","76.6264923897332","76.3010634329705","152","45.0723684210526","43.5263157894737","40","35","46","46","33.5787171475717","39.9915849274994","-0.439145410608683","-0.604978399648579","-0.271981591263632","0.839644570437666","0.65360058128421","1.02360188334505","10.3518334950456","151","2.59318128163407e-19","33.4001326231901","2.43155561055848","13.7361171087996","13314","1.20479934433899e-42","13467","|participant_outlier_data|participant_external"
"1","0","0","1","0","0","0","0","0","6.02875471018771","6.11438282753374","0.157360759693674","0.149549295888032","155","43.741935483871","41.9870967741935","38","27","46","46","0.0856281173460296","0.0699167696655132","-0.558001380461341","-0.726507392785956","-0.387918069193603","1.2247150112295","1.01507252863823","1.43200876969119","15.247578925957","154","1.39824100826325e-32","0.0849845291357652","0.0039238912499138","21.6582274388038","13132","3.09645281287625e-102","13288","434.432396968394","469.718031112877","77.4099613380535","79.8904044864543","155","43.741935483871","41.9870967741935","38","27","46","46","35.2856341444838","41.9750338715051","-0.448640204484333","-0.613172600482172","-0.282779500450372","0.84063384564503","0.656354371099335","1.02286592392522","10.4658069769518","154","1.0692373257653e-19","34.9281184045133","2.50988634787859","13.9162151441779","13132","1.03153034741081e-43","13288","|trial_external|participant_external"
"1","0","0","0","1","0","0","0","0","6.03189200202838","6.11403477181989","0.153679961526802","0.14835632689816","155","44.7870967741936","43.2967741935484","36","31","46","46","0.0821427697915084","0.0691931216139868","-0.543926494527272","-0.711876148057932","-0.374429481265341","1.18715224686299","0.98024090735122","1.39173120199697","14.7799262809709","154","2.44677156053079e-31","0.0815363555495057","0.00382092781535496","21.3394127001928","13497","2.12831959099896e-99","13653","435.414798648132","469.343719378235","76.3068718265859","79.6041923829337","155","44.7870967741936","43.2967741935484","36","31","46","46","33.9289207301036","41.4643273978512","-0.435234290807078","-0.599336043293047","-0.269837292186442","0.818267722144743","0.635267303366367","0.999249219531992","10.187350984977","154","5.93788749151131e-19","33.5857837609469","2.46721435834152","13.6128357260062","13497","6.35277758438278e-42","13653","|trial_outlier_fixed|participant_external"
"1","0","0","0","0","1","0","0","0","6.00726247488605","6.0937299870656","0.1395637406204","0.131381156267165","155","43.8258064516129","42.3032258064516","28","24","46","46","0.0864675121795563","0.058053334389763","-0.638266401566059","-0.810188064550007","-0.464608758881248","1.48944953960825","1.25932589158328","1.71716447739211","18.5434972243933","154","4.44990701748128e-41","0.0862484235105309","0.00330333115436512","26.1095298897175","13194","1.45187550067513e-146","13350","418.601786399277","453.782618825833","60.0198973786663","59.9429434703524","155","43.8258064516129","42.3032258064516","28","24","46","46","35.1808324265561","25.7864860893812","-0.586528831387606","-0.756201965906413","-0.415219650447748","1.36431277625855","1.14412314817186","1.58211136470737","16.9855570846722","154","3.99911795257382e-37","35.0894252786693","1.47032539414669","23.8650746415446","13194","2.83828644982185e-123","13350","|trial_outlier_data|participant_external"
"1","0","0","0","0","0","1","0","0","6.03031871288777","6.1138691859118","0.156908527798964","0.150730715524466","155","43.7161290322581","42.0064516129032","37","30","46","46","0.083550473024029","0.0704295247894487","-0.54317174962097","-0.711091936508482","-0.373705826225428","1.18629897438334","0.979449115914806","1.39081684682431","14.7693031242696","154","2.61165779938922e-31","0.0829009851707587","0.0039606547343787","20.9311315250919","13131","1.0116816462988e-95","13287","435.203594009569","469.512384721205","77.320308512496","80.676007686946","155","43.7161290322581","42.0064516129032","37","30","46","46","34.3087907116352","41.9481234825708","-0.434298615776922","-0.598370783115667","-0.268933529984613","0.817886185680996","0.634907371406889","0.998846576517263","10.1826008943104","154","6.11369396526253e-19","33.9121109555158","2.48864977755024","13.6267108620233","13131","5.36098415557424e-42","13287","|stimuli_external|participant_external"
"1","0","0","0","0","0","0","1","0","6.02923260767063","6.11508947937497","0.15847800726754","0.15026677653919","155","45.0258064516129","43.3806451612903","40","31","46","46","0.085856871704339","0.0697963566283864","-0.556167269585902","-0.724600047824296","-0.386161058121569","1.23010535007526","1.02006705060805","1.43779276759611","15.3146881033858","154","9.28639029051291e-33","0.0853022890700543","0.00386866567174737","22.0495375687312","13547","6.95809259977735e-106","13703","434.807741419076","470.054000703206","77.6367994353929","80.041510721388","155","45.0258064516129","43.3806451612903","40","31","46","46","35.2462592841295","41.3941471396691","-0.447065411204418","-0.611546565863235","-0.281259804274069","0.851479296461989","0.666570791374798","1.03432709889282","10.6008317507178","154","4.64425464000282e-20","34.9092324953243","2.46589530283838","14.1568186026154","13547","3.55726473644375e-45","13703","|stimuli_outlier_fixed|participant_external"
"1","0","0","0","0","0","0","0","1","6.02689578986386","6.11034896388083","0.159058716131979","0.150878890090799","155","45.0387096774194","43.4258064516129","40","31","46","46","0.0834531740169718","0.0699804990168356","-0.538515961544772","-0.706255208145611","-0.369241031557647","1.1925204191084","0.985221709176788","1.39748426675674","14.846759486451","154","1.62364820194436e-31","0.082858747097294","0.00384495731710929","21.5499783908105","13556","2.63169540184074e-101","13712","433.611155717331","467.938174150812","77.7542215050216","80.2728100063389","155","45.0387096774194","43.4258064516129","40","31","46","46","34.3270184334811","41.4449536779343","-0.434444893448667","-0.598521681875299","-0.269074822500889","0.828255683435764","0.64468712687862","1.00979242932812","10.3117001002388","154","2.7640481600131e-19","33.9782030591794","2.45522834373657","13.8391213777976","13556","2.91312367495001e-43","13712","|stimuli_outlier_data|participant_external"
"1","1","0","0","0","0","0","0","0","6.02616355319243","6.10965733581257","0.157416925931051","0.148824029846631","155","45.0516129032258","43.4193548387097","40","31","46","46","0.0834937826201399","0.0696196898914044","-0.545281622493061","-0.713284276832981","-0.375728698496713","1.19928403516845","0.991495849324245","1.40473430550931","14.930965827318","154","9.6896059409948e-32","0.0829263837050648","0.00386779663254629","21.4402130161822","13557","2.58915873727265e-100","13713","433.163068314982","467.235107045608","76.7786459504253","78.7436023973313","155","45.0516129032258","43.4193548387097","40","31","46","46","34.0720387306254","40.9561649717773","-0.438162887851755","-0.602357638549694","-0.272665622440567","0.8319147741031","0.648136846731195","1.01365623903595","10.3572554116671","154","2.08793556992409e-19","33.7420896867433","2.40855090896479","14.0092906324516","13557","2.78368012988957e-44","13713","|participant_external|participant_outlier_fixed"
"0","1","1","0","0","0","0","0","0","6.02623003283071","6.10913048280459","0.154555550289964","0.145527103417998","157","45.0828025477707","43.5923566878981","40","35","46","46","0.0829004499738819","0.0683352354410581","-0.552517441108474","-0.719734132785229","-0.383755073332252","1.21314354796344","1.00569178031934","1.41828126069053","15.2006450873163","156","1.35493342565212e-32","0.0825475566372675","0.00381274234892821","21.6504418821986","13764","3.03168465777987e-102","13922","432.864700856258","466.359114009751","75.4833767306956","75.2826957458413","157","45.0828025477707","43.5923566878981","40","35","46","46","33.4944131534934","39.5141995661594","-0.444322951487723","-0.607668610806554","-0.279676438720464","0.847655109333875","0.664157219643333","1.02912322040549","10.6210880773879","156","3.60412956818265e-20","33.3195266063241","2.36952504296776","14.0616900020573","13764","1.32905585660795e-44","13922","|participant_outlier_data|participant_outlier_fixed"
"0","1","0","1","0","0","0","0","0","6.028379460069","6.1127350021718","0.157382991983498","0.149747734289627","160","43.625","42.175","38","31","46","46","0.0843555421028065","0.0699447227061296","-0.549313597674958","-0.714836822455256","-0.382280404635661","1.20603154661465","1.00105823895701","1.40873717732107","15.2552264692714","159","6.04134893891719e-33","0.0837441659060467","0.0038558863118174","21.7185256861413","13567","7.67072424717385e-103","13728","434.295518649801","468.851840699187","77.2395067400723","79.770283980117","160","43.625","42.175","38","31","46","46","34.5563220493857","41.1331898659315","-0.440180473980369","-0.601861864166589","-0.277232627804906","0.840108004315195","0.65878013251228","1.01945328209594","10.6266190966983","159","2.88422639488872e-20","34.1834976158913","2.45066719399177","13.9486494533807","13567","6.44402176353365e-44","13728","|trial_external|participant_outlier_fixed"
