"exclusion","num_people","num_trials","order","row_number"
"trial_external",160,14278,1,140
"participant_external",155,13837,2,140
"participant_outlier_fixed",155,13837,3,140
"final",155,13837,4,140
"trial_outlier_fixed",160,14652,1,141
"participant_external",155,14195,2,141
"participant_outlier_fixed",154,14116,3,141
"final",154,14116,4,141
"trial_outlier_data",160,14333,1,142
"participant_external",155,13883,2,142
"participant_outlier_fixed",150,13517,3,142
"final",150,13517,4,142
"stimuli_external",160,14278,1,143
"participant_external",155,13826,2,143
"participant_outlier_fixed",155,13826,3,143
"final",155,13826,4,143
"stimuli_outlier_fixed",160,14720,1,144
"participant_external",155,14260,2,144
"participant_outlier_fixed",155,14260,3,144
"final",155,14260,4,144
"stimuli_outlier_data",160,14720,1,145
"participant_external",155,14260,2,145
"participant_outlier_fixed",155,14260,3,145
"final",155,14260,4,145
"participant_external",155,14260,1,146
"participant_outlier_data",152,13984,2,146
"participant_outlier_fixed",152,13984,3,146
"final",152,13984,4,146
"trial_external",160,14278,1,147
"participant_outlier_data",157,14011,2,147
"participant_outlier_fixed",157,14011,3,147
"final",157,14011,4,147
"trial_outlier_fixed",160,14652,1,148
"participant_outlier_data",157,14379,2,148
"participant_outlier_fixed",156,14300,3,148
"final",156,14300,4,148
"trial_outlier_data",160,14333,1,149
"participant_outlier_data",157,14087,2,149
"participant_outlier_fixed",153,13789,3,149
"final",153,13789,4,149
"stimuli_external",160,14278,1,150
"participant_outlier_data",157,14009,2,150
"participant_outlier_fixed",157,14009,3,150
"final",157,14009,4,150
"stimuli_outlier_fixed",160,14720,1,151
"participant_outlier_data",157,14444,2,151
"participant_outlier_fixed",157,14444,3,151
"final",157,14444,4,151
"stimuli_outlier_data",160,14720,1,152
"participant_outlier_data",157,14444,2,152
"participant_outlier_fixed",157,14444,3,152
"final",157,14444,4,152
"participant_external",155,14260,1,153
"trial_external",155,13832,2,153
"participant_outlier_fixed",155,13832,3,153
"final",155,13832,4,153
"participant_outlier_data",157,14444,1,154
"trial_external",157,14010,2,154
"participant_outlier_fixed",157,14010,3,154
"final",157,14010,4,154
"trial_outlier_fixed",160,14652,1,155
"trial_external",160,14212,2,155
"participant_outlier_fixed",158,14060,3,155
"final",158,14060,4,155
"trial_outlier_data",160,14333,1,156
"trial_external",160,13903,2,156
"participant_outlier_fixed",151,13245,3,156
"final",151,13245,4,156
"stimuli_external",160,14278,1,157
"trial_external",160,13849,2,157
"participant_outlier_fixed",160,13849,3,157
"final",160,13849,4,157
"stimuli_outlier_fixed",160,14720,1,158
"trial_external",160,14278,2,158
"participant_outlier_fixed",160,14278,3,158
"final",160,14278,4,158
"stimuli_outlier_data",160,14720,1,159
"trial_external",160,14278,2,159
"participant_outlier_fixed",160,14278,3,159
"final",160,14278,4,159
"participant_external",155,14260,1,160
"trial_outlier_fixed",155,14193,2,160
"participant_outlier_fixed",154,14114,3,160
"final",154,14114,4,160
"participant_outlier_data",157,14444,1,161
"trial_outlier_fixed",157,14379,2,161
"participant_outlier_fixed",156,14300,3,161
"final",156,14300,4,161
"trial_external",160,14278,1,162
"trial_outlier_fixed",160,14213,2,162
"participant_outlier_fixed",158,14058,3,162
"final",158,14058,4,162
"trial_outlier_data",160,14333,1,163
"trial_outlier_fixed",160,14265,2,163
"participant_outlier_fixed",154,13820,3,163
"final",154,13820,4,163
"stimuli_external",160,14278,1,164
"trial_outlier_fixed",160,14212,2,164
"participant_outlier_fixed",158,14059,3,164
"final",158,14059,4,164
"stimuli_outlier_fixed",160,14720,1,165
"trial_outlier_fixed",160,14652,2,165
"participant_outlier_fixed",159,14573,3,165
"final",159,14573,4,165
"stimuli_outlier_data",160,14720,1,166
"trial_outlier_fixed",160,14652,2,166
"participant_outlier_fixed",159,14573,3,166
"final",159,14573,4,166
"participant_external",155,14260,1,167
"trial_outlier_data",155,13889,2,167
"participant_outlier_fixed",150,13522,3,167
"final",150,13522,4,167
"participant_outlier_data",157,14444,1,168
"trial_outlier_data",157,14054,2,168
"participant_outlier_fixed",153,13762,3,168
"final",153,13762,4,168
"trial_external",160,14278,1,169
"trial_outlier_data",160,13876,2,169
"participant_outlier_fixed",151,13215,3,169
"final",151,13215,4,169
"trial_outlier_fixed",160,14652,1,170
"trial_outlier_data",160,14265,2,170
"participant_outlier_fixed",154,13820,3,170
"final",154,13820,4,170
"stimuli_external",160,14278,1,171
"trial_outlier_data",160,13903,2,171
"participant_outlier_fixed",153,13390,3,171
"final",153,13390,4,171
"stimuli_outlier_fixed",160,14720,1,172
"trial_outlier_data",160,14333,2,172
"participant_outlier_fixed",155,13967,3,172
"final",155,13967,4,172
"stimuli_outlier_data",160,14720,1,173
"trial_outlier_data",160,14333,2,173
"participant_outlier_fixed",155,13967,3,173
"final",155,13967,4,173
"participant_external",155,14260,1,174
"stimuli_external",155,13832,2,174
"participant_outlier_fixed",155,13832,3,174
"final",155,13832,4,174
"participant_outlier_data",157,14444,1,175
"stimuli_external",157,14010,2,175
"participant_outlier_fixed",157,14010,3,175
"final",157,14010,4,175
"trial_external",160,14278,1,176
"stimuli_external",160,13849,2,176
"participant_outlier_fixed",160,13849,3,176
"final",160,13849,4,176
"trial_outlier_fixed",160,14652,1,177
"stimuli_external",160,14212,2,177
"participant_outlier_fixed",159,14136,3,177
"final",159,14136,4,177
"trial_outlier_data",160,14333,1,178
"stimuli_external",160,13903,2,178
"participant_outlier_fixed",151,13238,3,178
"final",151,13238,4,178
"stimuli_outlier_fixed",160,14720,1,179
"stimuli_external",160,14278,2,179
"participant_outlier_fixed",160,14278,3,179
"final",160,14278,4,179
"stimuli_outlier_data",160,14720,1,180
"stimuli_external",160,14278,2,180
"participant_outlier_fixed",160,14278,3,180
"final",160,14278,4,180
"participant_external",155,14260,1,181
"stimuli_outlier_fixed",155,14260,2,181
"participant_outlier_fixed",155,14260,3,181
"final",155,14260,4,181
"participant_outlier_data",157,14444,1,182
"stimuli_outlier_fixed",157,14444,2,182
"participant_outlier_fixed",157,14444,3,182
"final",157,14444,4,182
"trial_external",160,14278,1,183
"stimuli_outlier_fixed",160,14278,2,183
"participant_outlier_fixed",160,14278,3,183
"final",160,14278,4,183
"trial_outlier_fixed",160,14652,1,184
"stimuli_outlier_fixed",160,14652,2,184
"participant_outlier_fixed",159,14573,3,184
"final",159,14573,4,184
"trial_outlier_data",160,14333,1,185
"stimuli_outlier_fixed",160,14333,2,185
"participant_outlier_fixed",155,13967,3,185
"final",155,13967,4,185
"stimuli_external",160,14278,1,186
"stimuli_outlier_fixed",160,14278,2,186
